what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1363722250879
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1363722250894
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1363722250908
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1363722250913
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1363722250920
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1363722250938
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1363722250941
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1363722250955
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1363722250968
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1363722250980
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1363722250988
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1363722250988
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1363722251002
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1363722251013
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1363722251013
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1363722251013
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1363722251013
started,bundle,org.eclipse.mylyn.bugzilla.core,3.8.1.v20120725-0100,"org.eclipse.mylyn.bugzilla.core",1363722251044
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.8.1.v20120725-0100,"org.eclipse.mylyn.bugzilla.ui",1363722251052
started,bundle,org.eclipse.mylyn.commons.core,3.8.1.v20120725-0100,"org.eclipse.mylyn.commons.core",1363722251052
started,bundle,org.eclipse.mylyn.commons.net,3.8.1.v20120725-0100,"org.eclipse.mylyn.commons.net",1363722251052
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.0.1.v20120725-0100,"org.eclipse.mylyn.commons.notifications.core",1363722251059
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.0.1.v20120725-0100,"org.eclipse.mylyn.commons.notifications.feed",1363722251110
started,bundle,org.eclipse.mylyn.commons.notifications.ui,1.0.1.v20120725-0100,"org.eclipse.mylyn.commons.notifications.ui",1363722251149
started,bundle,org.eclipse.mylyn.commons.ui,3.8.1.v20120725-0100,"org.eclipse.mylyn.commons.ui",1363722251236
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.1.v20120725-0100,"org.eclipse.mylyn.commons.workbench",1363722251279
started,bundle,org.eclipse.mylyn.context.core,3.8.1.v20120725-0100,"org.eclipse.mylyn.context.core",1363722251279
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.1.v20120725-0100,"org.eclipse.mylyn.context.tasks.ui",1363722251284
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.1.v20120725-0100,"org.eclipse.mylyn.monitor.ui",1363722251294
started,bundle,org.eclipse.mylyn.tasks.index.core,3.8.1.v20120725-0100,"org.eclipse.mylyn.tasks.index.core",1363722251402
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.1.v20120725-0100,"org.eclipse.mylyn.tasks.ui",1363722251541
os,sysinfo,,,"macosx",1363722251544
arch,sysinfo,,,"x86",1363722251544
ws,sysinfo,,,"cocoa",1363722251544
locale,sysinfo,,,"en_US",1363722251544
processors,sysinfo,,,"2",1363722251544
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1363722251544
java.runtime.version,sysinfo,,,"1.6.0_43-b01-447-11M4203",1363722251544
java.specification.name,sysinfo,,,"Java Platform API Specification",1363722251544
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1363722251544
java.specification.version,sysinfo,,,"1.6",1363722251544
java.vendor,sysinfo,,,"Apple Inc.",1363722251544
java.version,sysinfo,,,"1.6.0_43",1363722251544
java.vm.info,sysinfo,,,"mixed mode",1363722251544
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1363722251544
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1363722251544
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1363722251544
java.vm.specification.version,sysinfo,,,"1.0",1363722251544
java.vm.vendor,sysinfo,,,"Apple Inc.",1363722251544
java.vm.version,sysinfo,,,"20.14-b01-447",1363722251544
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1363722251607
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1363722251685
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1363722251713
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1363722251993
started,bundle,com.objectaid.uml,1.0.10,"com.objectaid.uml",1363722252119
started,bundle,org.eclipse.mylyn.team.ui,3.8.1.v20120725-0100,"org.eclipse.mylyn.team.ui",1363722252182
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1363722252241
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1363722252685
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1363722252734
started,bundle,com.objectaid.uml.cls,1.0.10,"com.objectaid.uml.cls",1363722253308
started,bundle,org.eclipse.gef,3.5.1.v20090910-2020,"org.eclipse.gef",1363722253600
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1363722254189
started,bundle,com.objectaid.uml.seq,1.0.10,"com.objectaid.uml.seq",1363722254238
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1363722254422
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363722551499
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1363722557985
